source_url,name,run_date
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"657,564 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Chase for Business,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"49,526 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Forbes,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"18,064,192 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Leiden University,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"316,523 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,The D. E. Shaw Group,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"222,024 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,The Carlyle Group,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"473,230 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Lockton,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"443,138 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Blackstone,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"1,362,356 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,DAT Freight & Analytics,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"169,122 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,WPP,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"608,973 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Gates Foundation,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"1,374,128 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Fortress Investment Group,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"73,760 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Prophet,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"78,976 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,StubHub,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"56,783 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Stifel Financial Corp.,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"91,902 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Meta,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"11,001,636 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,AXA Partners,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"117,938 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Sequoia Capital,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"772,237 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Broadridge,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"235,572 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Bridgewater Associates,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"301,586 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Warburg Pincus LLC,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"162,983 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Open Society Foundations,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"252,113 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Bessemer Trust,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"21,652 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Brightspark Ventures,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"9,931 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Benchmark ,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1, ,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1, ,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"38,479 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Summit Partners,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"66,673 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Index Ventures,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"171,124 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Highland Capital Partners,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"12,483 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Tesla,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"12,245,148 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Greenhill & Co.,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"55,109 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,KKR,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"686,526 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,General Atlantic,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"131,673 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Bessemer Venture Partners,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"201,384 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Fandango,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"78,692 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Accel,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"289,798 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Greylock Partners,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"208,377 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Allen Tate Companies,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"9,763 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Epic Games,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"800,139 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Battery Ventures,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"76,759 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Harris Williams,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"37,855 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Big Ass Fans,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"38,709 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Insight Partners,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"147,209 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Acumen,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"114,721 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Red Ventures,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"78,499 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Bloom Energy,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"126,123 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Commonfund,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"10,684 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Parthenon Capital,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"7,179 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,lululemon,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"1,102,785 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,New Enterprise Associates (NEA),2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"68,719 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,Atlassian,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"2,064,375 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,CRV,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"17,481 followers",2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,RAMSA | Robert A.M. Stern Architects,2025-07-02
https://www.linkedin.com/in/jerryfung/details/interests/?detailScreenTabIndex=1,"21,720 followers",2025-07-02
